temperature	air_quality	carbon_monoxide	gas_and_smoke	label
30.44	208	359	186	Non-Fire
30.44	218	354	177	Non-Fire
30.44	202	349	176	Non-Fire
30.44	211	346	192	Non-Fire
30.44	208	365	178	Non-Fire
30.38	206	364	183	Non-Fire
30.44	219	356	191	Non-Fire
30.44	209	347	181	Non-Fire
30.44	208	344	191	Non-Fire
30.38	213	349	175	Non-Fire
30.38	208	361	188	Non-Fire
30.44	210	354	188	Non-Fire
30.38	213	357	192	Non-Fire
30.38	213	343	192	Non-Fire
30.38	204	343	174	Non-Fire
30.38	208	343	190	Non-Fire
30.38	204	350	176	Non-Fire
30.38	205	350	177	Non-Fire
30.38	214	351	192	Non-Fire
30.38	206	352	176	Non-Fire
30.38	215	348	175	Non-Fire
30.38	203	348	189	Non-Fire
30.38	211	357	181	Non-Fire
30.38	211	354	172	Non-Fire
30.31	205	353	176	Non-Fire
30.38	207	346	185	Non-Fire
30.38	208	356	174	Non-Fire
30.31	208	349	192	Non-Fire
30.38	205	350	195	Non-Fire
30.38	212	358	177	Non-Fire
30.38	208	354	192	Non-Fire
30.38	208	351	180	Non-Fire
30.38	206	357	190	Non-Fire
30.38	205	357	191	Non-Fire
30.38	212	358	178	Non-Fire
30.38	212	354	177	Non-Fire
30.38	205	350	192	Non-Fire
30.38	209	355	189	Non-Fire
30.38	208	358	185	Non-Fire
30.38	210	346	183	Non-Fire
30.38	207	353	191	Non-Fire
30.38	205	359	176	Non-Fire
30.38	208	359	174	Non-Fire
30.38	209	353	171	Non-Fire
30.31	214	345	171	Non-Fire
30.38	203	358	182	Non-Fire
30.31	202	346	182	Non-Fire
30.38	210	340	189	Non-Fire
30.31	213	349	188	Non-Fire
30.31	203	344	176	Non-Fire
30.31	202	356	184	Non-Fire
30.31	207	353	181	Non-Fire
30.31	213	343	192	Non-Fire
30.31	211	357	176	Non-Fire
30.31	213	342	175	Non-Fire
30.31	211	340	173	Non-Fire
30.31	208	349	176	Non-Fire
30.31	212	345	187	Non-Fire
30.31	208	359	189	Non-Fire
30.31	210	354	192	Non-Fire
30.31	212	345	176	Non-Fire
30.31	203	357	192	Non-Fire
30.31	214	352	172	Non-Fire
30.31	208	346	173	Non-Fire
30.31	213	363	186	Non-Fire
30.31	210	342	174	Non-Fire
30.31	216	358	190	Non-Fire
30.31	208	342	183	Non-Fire
30.25	210	342	186	Non-Fire
30.25	198	346	176	Non-Fire
30.25	208	361	193	Non-Fire
30.31	209	363	176	Non-Fire
30.31	208	358	180	Non-Fire
30.25	208	354	188	Non-Fire
30.25	210	349	192	Non-Fire
30.31	208	342	189	Non-Fire
30.31	202	345	190	Non-Fire
30.25	202	343	182	Non-Fire
30.31	214	347	186	Non-Fire
30.31	216	348	177	Non-Fire
30.25	208	344	192	Non-Fire
30.25	208	355	187	Non-Fire
30.25	210	345	191	Non-Fire
30.25	214	343	192	Non-Fire
30.25	210	352	174	Non-Fire
30.25	201	344	188	Non-Fire
30.25	210	348	191	Non-Fire
30.25	206	358	187	Non-Fire
30.25	210	344	192	Non-Fire
30.25	212	352	186	Non-Fire
30.25	213	358	176	Non-Fire
30.25	202	356	193	Non-Fire
30.25	199	354	177	Non-Fire
30.25	200	347	191	Non-Fire
30.25	207	347	193	Non-Fire
30.25	214	346	191	Non-Fire
30.25	208	346	177	Non-Fire
30.25	208	356	171	Non-Fire
30.25	208	352	182	Non-Fire
30.25	206	348	173	Non-Fire
30.25	211	355	176	Non-Fire
30.25	213	352	183	Non-Fire
30.25	208	353	187	Non-Fire
30.31	207	349	186	Non-Fire
